"filename", "language", "JavaScript", "TypeScript", "JSON with Comments", "JSON", "HTML", "Markdown", "XML", "comment", "blank", "total"
"d:\deployment-roamgram\roamgram-client\.eslintrc.cjs", "JavaScript", -18, 0, 0, 0, 0, 0, 0, 0, -1, -19
"d:\deployment-roamgram\roamgram-client\README.md", "Markdown", 0, 0, 0, 0, 0, -13, 0, 0, -9, -22
"d:\deployment-roamgram\roamgram-client\cypress.config.ts", "TypeScript", 0, -14, 0, 0, 0, 0, 0, -1, -3, -18
"d:\deployment-roamgram\roamgram-client\cypress\e2e\explorenearby.cy.ts", "TypeScript", 0, -9, 0, 0, 0, 0, 0, -3, -4, -16
"d:\deployment-roamgram\roamgram-client\cypress\e2e\login.cy.ts", "TypeScript", 0, -14, 0, 0, 0, 0, 0, -4, -1, -19
"d:\deployment-roamgram\roamgram-client\cypress\e2e\spec.cy.ts", "TypeScript", 0, -12, 0, 0, 0, 0, 0, -1, -6, -19
"d:\deployment-roamgram\roamgram-client\cypress\fixtures\example.json", "JSON", 0, 0, 0, -5, 0, 0, 0, 0, -1, -6
"d:\deployment-roamgram\roamgram-client\cypress\support\commands.ts", "TypeScript", 0, -14, 0, 0, 0, 0, 0, -58, -7, -79
"d:\deployment-roamgram\roamgram-client\cypress\support\component-index.html", "HTML", 0, 0, 0, 0, -12, 0, 0, 0, 0, -12
"d:\deployment-roamgram\roamgram-client\cypress\support\component.ts", "TypeScript", 0, -10, 0, 0, 0, 0, 0, -23, -6, -39
"d:\deployment-roamgram\roamgram-client\cypress\support\e2e.ts", "TypeScript", 0, -1, 0, 0, 0, 0, 0, -17, -2, -20
"d:\deployment-roamgram\roamgram-client\index.html", "HTML", 0, 0, 0, 0, -17, 0, 0, 0, -1, -18
"d:\deployment-roamgram\roamgram-client\package-lock.json", "JSON", 0, 0, 0, -8572, 0, 0, 0, 0, -1, -8573
"d:\deployment-roamgram\roamgram-client\package.json", "JSON", 0, 0, 0, -74, 0, 0, 0, 0, -1, -75
"d:\deployment-roamgram\roamgram-client\postcss.config.cjs", "JavaScript", -14, 0, 0, 0, 0, 0, 0, 0, 0, -14
"d:\deployment-roamgram\roamgram-client\public\__MACOSX\github-mark\._github-mark-white.svg", "XML", 0, 0, 0, 0, 0, 0, -1, 0, 0, -1
"d:\deployment-roamgram\roamgram-client\public\__MACOSX\github-mark\._github-mark.svg", "XML", 0, 0, 0, 0, 0, 0, -1, 0, 0, -1
"d:\deployment-roamgram\roamgram-client\public\assets\react.svg", "XML", 0, 0, 0, 0, 0, 0, -1, 0, 0, -1
"d:\deployment-roamgram\roamgram-client\public\index.html", "HTML", 0, 0, 0, 0, -20, 0, 0, -23, -1, -44
"d:\deployment-roamgram\roamgram-client\public\manifest.json", "JSON", 0, 0, 0, -25, 0, 0, 0, 0, -1, -26
"d:\deployment-roamgram\roamgram-client\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, -1, 0, 0, -1
"d:\deployment-roamgram\roamgram-client\tailwind.config.js", "JavaScript", -7, 0, 0, 0, 0, 0, 0, -1, -1, -9
"d:\deployment-roamgram\roamgram-client\tsconfig.json", "JSON with Comments", 0, 0, -21, 0, 0, 0, 0, -2, -4, -27
"d:\deployment-roamgram\roamgram-client\tsconfig.node.json", "JSON", 0, 0, 0, -11, 0, 0, 0, 0, -1, -12
"d:\deployment-roamgram\roamgram-client\vercel.json", "JSON", 0, 0, 0, -15, 0, 0, 0, 0, -1, -16
"d:\deployment-roamgram\roamgram-client\vite.config.ts", "TypeScript", 0, -18, 0, 0, 0, 0, 0, -1, -2, -21
"Total", "-", -39, -92, -21, -8702, -49, -13, -4, -134, -54, -9108